代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,,,,,,,,,,,,,,,,,
0051,元大中型100,市,,,,,,,,,,,,,,,,,,,
0052,富邦科技,市,,,,,,,,,,,,,,,,,,,
0053,元大電子,市,,,,,,,,,,,,,,,,,,,
0055,元大MSCI金融,市,,,,,,,,,,,,,,,,,,,
0056,元大高股息,市,,,,,,,,,,,,,,,,,,,
0057,富邦摩台,市,,,,,,,,,,,,,,,,,,,
0061,元大寶滬深,市,,,,,,,,,,,,,,,,,,,
006203,元大MSCI台灣,市,,,,,,,,,,,,,,,,,,,
006204,永豐臺灣加權,市,,,,,,,,,,,,,,,,,,,
006205,富邦上証,市,,,,,,,,,,,,,,,,,,,
006206,元大上證50,市,,,,,,,,,,,,,,,,,,,
006207,復華滬深,市,,,,,,,,,,,,,,,,,,,
006208,富邦台50,市,,,,,,,,,,,,,,,,,,,
00625K,富邦上証+R,市,,,,,,,,,,,,,,,,,,,
00631L,元大台灣50正2,市,,,,,,,,,,,,,,,,,,,
00633L,富邦上証正2,市,,,,,,,,,,,,,,,,,,,
00634R,富邦上証反1,市,,,,,,,,,,,,,,,,,,,
00635U,期元大S&P黃金,市,,,,,,,,,,,,,,,,,,,
00636,國泰中國A50,市,,,,,,,,,,,,,,,,,,,
00636K,國泰中國A50+U,市,,,,,,,,,,,,,,,,,,,
00637L,元大滬深300正2,市,,,,,,,,,,,,,,,,,,,
00638R,元大滬深300反1,市,,,,,,,,,,,,,,,,,,,
00639,富邦深100,市,,,,,,,,,,,,,,,,,,,
00640L,富邦日本正2,市,,,,,,,,,,,,,,,,,,,
00641R,富邦日本反1,市,,,,,,,,,,,,,,,,,,,
00642U,期元大S&P石油,市,,,,,,,,,,,,,,,,,,,
00643,群益深証中小,市,,,,,,,,,,,,,,,,,,,
00643K,群益深証中小+R,市,,,,,,,,,,,,,,,,,,,
00645,富邦日本,市,,,,,,,,,,,,,,,,,,,
00646,元大S&P500,市,,,,,,,,,,,,,,,,,,,
00647L,元大S&P500正2,市,,,,,,,,,,,,,,,,,,,
00648R,元大S&P500反1,市,,,,,,,,,,,,,,,,,,,
00650L,復華香港正2,市,,,,,,,,,,,,,,,,,,,
00651R,復華香港反1,市,,,,,,,,,,,,,,,,,,,
00652,富邦印度,市,,,,,,,,,,,,,,,,,,,
00653L,富邦印度正2,市,,,,,,,,,,,,,,,,,,,
00654R,富邦印度反1,市,,,,,,,,,,,,,,,,,,,
00655L,國泰中國A50正2,市,,,,,,,,,,,,,,,,,,,
00656R,國泰中國A50反1,市,,,,,,,,,,,,,,,,,,,
00657,國泰日經225,市,,,,,,,,,,,,,,,,,,,
00657K,國泰日經225+U,市,,,,,,,,,,,,,,,,,,,
00660,元大歐洲50,市,,,,,,,,,,,,,,,,,,,
00661,元大日經225,市,,,,,,,,,,,,,,,,,,,
00662,富邦NASDAQ,市,,,,,,,,,,,,,,,,,,,
00663L,國泰臺灣加權正2,市,,,,,,,,,,,,,,,,,,,
00664R,國泰臺灣加權反1,市,,,,,,,,,,,,,,,,,,,
00665L,富邦恒生國企正2,市,,,,,,,,,,,,,,,,,,,
00666R,富邦恒生國企反1,市,,,,,,,,,,,,,,,,,,,
00668,國泰美國道瓊,市,,,,,,,,,,,,,,,,,,,
00668K,國泰美國道瓊+U,市,,,,,,,,,,,,,,,,,,,
00669R,國泰美國道瓊反1,市,,,,,,,,,,,,,,,,,,,
00670L,富邦NASDAQ正2,市,,,,,,,,,,,,,,,,,,,
00671R,富邦NASDAQ反1,市,,,,,,,,,,,,,,,,,,,
00673R,期元大S&P原油反1,市,,,,,,,,,,,,,,,,,,,
00674R,期元大S&P黃金反1,市,,,,,,,,,,,,,,,,,,,
00675L,富邦臺灣加權正2,市,,,,,,,,,,,,,,,,,,,
00676R,富邦臺灣加權反1,市,,,,,,,,,,,,,,,,,,,
00678,群益那斯達克生技,市,,,,,,,,,,,,,,,,,,,
00680L,元大美債20正2,市,,,,,,,,,,,,,,,,,,,
00681R,元大美債20反1,市,,,,,,,,,,,,,,,,,,,
00682U,期元大美元指數,市,,,,,,,,,,,,,,,,,,,
00683L,期元大美元指正2,市,,,,,,,,,,,,,,,,,,,
00684R,期元大美元指反1,市,,,,,,,,,,,,,,,,,,,
00685L,群益臺灣加權正2,市,,,,,,,,,,,,,,,,,,,
00686R,群益臺灣加權反1,市,,,,,,,,,,,,,,,,,,,
00688L,國泰20年美債正2,市,,,,,,,,,,,,,,,,,,,
00689R,國泰20年美債反1,市,,,,,,,,,,,,,,,,,,,
00690,兆豐藍籌30,市,,,,,,,,,,,,,,,,,,,
00692,富邦公司治理,市,,,,,,,,,,,,,,,,,,,
00693U,期街口S&P黃豆,市,,,,,,,,,,,,,,,,,,,
00700,富邦恒生國企,市,,,,,,,,,,,,,,,,,,,
00701,國泰股利精選30,市,,,,,,,,,,,,,,,,,,,
00702,國泰標普低波高息,市,,,,,,,,,,,,,,,,,,,
00703,台新MSCI中國,市,,,,,,,,,,,,,,,,,,,
00706L,期元大S&P日圓正2,市,,,,,,,,,,,,,,,,,,,
00707R,期元大S&P日圓反1,市,,,,,,,,,,,,,,,,,,,
00708L,期元大S&P黃金正2,市,,,,,,,,,,,,,,,,,,,
00709,富邦歐洲,市,,,,,,,,,,,,,,,,,,,
00710B,復華彭博非投等債,市,,,,,,,,,,,,,,,,,,,
00711B,復華彭博新興債,市,,,,,,,,,,,,,,,,,,,
00712,復華富時不動產,市,,,,,,,,,,,,,,,,,,,
00713,元大台灣高息低波,市,,,,,,,,,,,,,,,,,,,
00714,群益道瓊美國地產,市,,,,,,,,,,,,,,,,,,,
00715L,期街口布蘭特正2,市,,,,,,,,,,,,,,,,,,,
00717,富邦美國特別股,市,,,,,,,,,,,,,,,,,,,
00728,第一金工業30,市,,,,,,,,,,,,,,,,,,,
00730,富邦臺灣優質高息,市,,,,,,,,,,,,,,,,,,,
00731,復華富時高息低波,市,,,,,,,,,,,,,,,,,,,
00733,富邦臺灣中小,市,,,,,,,,,,,,,,,,,,,
00735,國泰臺韓科技,市,,,,,,,,,,,,,,,,,,,
00736,國泰新興市場,市,,,,,,,,,,,,,,,,,,,
00737,國泰AI+Robo,市,,,,,,,,,,,,,,,,,,,
00738U,期元大道瓊白銀,市,,,,,,,,,,,,,,,,,,,
00739,元大MSCI A股,市,,,,,,,,,,,,,,,,,,,
00752,中信中國50,市,,,,,,,,,,,,,,,,,,,
00753L,中信中國50正2,市,,,,,,,,,,,,,,,,,,,
00757,統一FANG+,市,,,,,,,,,,,,,,,,,,,
00762,元大全球AI,市,,,,,,,,,,,,,,,,,,,
00763U,期街口道瓊銅,市,,,,,,,,,,,,,,,,,,,
00770,國泰北美科技,市,,,,,,,,,,,,,,,,,,,
00771,元大US高息特別股,市,,,,,,,,,,,,,,,,,,,
00775B,新光投等債15+,市,,,,,,,,,,,,,,,,,,,
00783,富邦中証500,市,,,,,,,,,,,,,,,,,,,
00830,國泰費城半導體,市,,,,,,,,,,,,,,,,,,,
00850,元大臺灣ESG永續,市,,,,,,,,,,,,,,,,,,,
00851,台新全球AI,市,,,,,,,,,,,,,,,,,,,
00852L,國泰美國道瓊正2,市,,,,,,,,,,,,,,,,,,,
00861,元大全球未來通訊,市,,,,,,,,,,,,,,,,,,,
00865B,國泰US短期公債,市,,,,,,,,,,,,,,,,,,,
00875,國泰網路資安,市,,,,,,,,,,,,,,,,,,,
00876,元大全球5G,市,,,,,,,,,,,,,,,,,,,
00878,國泰永續高股息,市,,,,,,,,,,,,,,,,,,,
00881,國泰台灣5G+,市,,,,,,,,,,,,,,,,,,,
00882,中信中國高股息,市,,,,,,,,,,,,,,,,,,,
00885,富邦越南,市,,,,,,,,,,,,,,,,,,,
00891,中信關鍵半導體,市,,,,,,,,,,,,,,,,,,,
00892,富邦台灣半導體,市,,,,,,,,,,,,,,,,,,,
00893,國泰智能電動車,市,,,,,,,,,,,,,,,,,,,
00894,中信小資高價30,市,,,,,,,,,,,,,,,,,,,
00895,富邦未來車,市,,,,,,,,,,,,,,,,,,,
00896,中信綠能及電動車,市,,,,,,,,,,,,,,,,,,,
00897,富邦基因免疫生技,市,,,,,,,,,,,,,,,,,,,
00898,國泰基因免疫革命,市,,,,,,,,,,,,,,,,,,,
00899,FT潔淨能源,市,,,,,,,,,,,,,,,,,,,
00900,富邦特選高股息30,市,,,,,,,,,,,,,,,,,,,
00901,永豐智能車供應鏈,市,,,,,,,,,,,,,,,,,,,
00902,中信電池及儲能,市,,,,,,,,,,,,,,,,,,,
00903,富邦元宇宙,市,,,,,,,,,,,,,,,,,,,
00904,新光臺灣半導體30,市,,,,,,,,,,,,,,,,,,,
00905,FT臺灣Smart,市,,,,,,,,,,,,,,,,,,,
00907,永豐優息存股,市,,,,,,,,,,,,,,,,,,,
00908,富邦入息REITs+,市,,,,,,,,,,,,,,,,,,,
00909,國泰數位支付服務,市,,,,,,,,,,,,,,,,,,,
00910,第一金太空衛星,市,,,,,,,,,,,,,,,,,,,
00911,兆豐洲際半導體,市,,,,,,,,,,,,,,,,,,,
00912,中信臺灣智慧50,市,,,,,,,,,,,,,,,,,,,
00913,兆豐台灣晶圓製造,市,,,,,,,,,,,,,,,,,,,
00915,凱基優選高股息30,市,,,,,,,,,,,,,,,,,,,
00916,國泰全球品牌50,市,,,,,,,,,,,,,,,,,,,
00917,中信特選金融,市,,,,,,,,,,,,,,,,,,,
00918,大華優利高填息30,市,,,,,,,,,,,,,,,,,,,
00919,群益台灣精選高息,市,,,,,,,,,,,,,,,,,,,
00920,富邦ESG綠色電力,市,,,,,,,,,,,,,,,,,,,
00921,兆豐龍頭等權重,市,,,,,,,,,,,,,,,,,,,
00922,國泰台灣領袖50,市,,,,,,,,,,,,,,,,,,,
00923,群益台ESG低碳50,市,,,,,,,,,,,,,,,,,,,
00924,復華S&P500成長,市,,,,,,,,,,,,,,,,,,,
00925,新光標普電動車,市,,,,,,,,,,,,,,,,,,,
00926,凱基全球菁英55,市,,,,,,,,,,,,,,,,,,,
00927,群益半導體收益,市,,,,,,,,,,,,,,,,,,,
00929,復華台灣科技優息,市,,,,,,,,,,,,,,,,,,,
00930,永豐ESG低碳高息,市,,,,,,,,,,,,,,,,,,,
00932,兆豐永續高息等權,市,,,,,,,,,,,,,,,,,,,
00934,中信成長高股息,市,,,,,,,,,,,,,,,,,,,
00935,野村臺灣新科技50,市,,,,,,,,,,,,,,,,,,,
00936,台新永續高息中小,市,,,,,,,,,,,,,,,,,,,
00938,凱基優選30,市,,,,,,,,,,,,,,,,,,,
00939,統一台灣高息動能,市,,,,,,,,,,,,,,,,,,,
00940,元大台灣價值高息,市,,,,,,,,,,,,,,,,,,,
00941,中信上游半導體,市,,,,,,,,,,,,,,,,,,,
00943,兆豐電子高息等權,市,,,,,,,,,,,,,,,,,,,
00944,野村趨勢動能高息,市,,,,,,,,,,,,,,,,,,,
00945B,凱基美國非投等債,市,,,,,,,,,,,,,,,,,,,
00946,群益科技高息成長,市,,,,,,,,,,,,,,,,,,,
00947,台新臺灣IC設計,市,,,,,,,,,,,,,,,,,,,
00949,復華日本龍頭,市,,,,,,,,,,,,,,,,,,,
00951,台新日本半導體,市,,,,,,,,,,,,,,,,,,,
00952,凱基台灣AI50,市,,,,,,,,,,,,,,,,,,,
00953B,群益優選非投等債,市,,,,,,,,,,,,,,,,,,,
00954,中信日本半導體,市,,,,,,,,,,,,,,,,,,,
00956,中信日經高股息,市,,,,,,,,,,,,,,,,,,,
00960,野村全球航運龍頭,市,,,,,,,,,,,,,,,,,,,
00961,FT臺灣永續高息,市,,,,,,,,,,,,,,,,,,,
00962,台新AI優息動能,市,,,,,,,,,,,,,,,,,,,
00963,中信全球高股息,市,,,,,,,,,,,,,,,,,,,
00964,中信亞太高股息,市,,,,,,,,,,,,,,,,,,,
00965,元大航太防衛科技,市,,,,,,,,,,,,,,,,,,,
01001T,土銀富邦R1,市,,,,,,,,,,,,,,,,,,,
