代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
006201,元大富櫃50,櫃,,,,,,,,,,,,,,,,,,,
00679B,元大美債20年,櫃,,,,,,,,,,,,,,,,,,,
00687B,國泰20年美債,櫃,,,,,,,,,,,,,,,,,,,
00694B,富邦美債1-3,櫃,,,,,,,,,,,,,,,,,,,
00695B,富邦美債7-10,櫃,,,,,,,,,,,,,,,,,,,
00696B,富邦美債20年,櫃,,,,,,,,,,,,,,,,,,,
00697B,元大美債7-10,櫃,,,,,,,,,,,,,,,,,,,
00718B,富邦中國政策債,櫃,,,,,,,,,,,,,,,,,,,
00719B,元大美債1-3,櫃,,,,,,,,,,,,,,,,,,,
00720B,元大投資級公司債,櫃,,,,,,,,,,,,,,,,,,,
00722B,群益投資級電信債,櫃,,,,,,,,,,,,,,,,,,,
00723B,群益投資級科技債,櫃,,,,,,,,,,,,,,,,,,,
00724B,群益投資級金融債,櫃,,,,,,,,,,,,,,,,,,,
00725B,國泰投資級公司債,櫃,,,,,,,,,,,,,,,,,,,
00726B,國泰新興投等債,櫃,,,,,,,,,,,,,,,,,,,
00727B,國泰優選非投等債,櫃,,,,,,,,,,,,,,,,,,,
00734B,台新JPM新興債,櫃,,,,,,,,,,,,,,,,,,,
00740B,富邦全球投等債,櫃,,,,,,,,,,,,,,,,,,,
00741B,富邦全球非投等債,櫃,,,,,,,,,,,,,,,,,,,
00746B,富邦A級公司債,櫃,,,,,,,,,,,,,,,,,,,
00749B,凱基新興債10+,櫃,,,,,,,,,,,,,,,,,,,
00750B,凱基科技債10+,櫃,,,,,,,,,,,,,,,,,,,
00751B,元大AAA至A公司債,櫃,,,,,,,,,,,,,,,,,,,
00754B,群益AAA-AA公司債,櫃,,,,,,,,,,,,,,,,,,,
00755B,群益投資級公用債,櫃,,,,,,,,,,,,,,,,,,,
00756B,群益投等新興公債,櫃,,,,,,,,,,,,,,,,,,,
00758B,復華能源債,櫃,,,,,,,,,,,,,,,,,,,
00759B,復華製藥債,櫃,,,,,,,,,,,,,,,,,,,
00760B,復華新興企業債,櫃,,,,,,,,,,,,,,,,,,,
00761B,國泰A級公司債,櫃,,,,,,,,,,,,,,,,,,,
00764B,群益25年美債,櫃,,,,,,,,,,,,,,,,,,,
00768B,復華20年美債,櫃,,,,,,,,,,,,,,,,,,,
00772B,中信高評級公司債,櫃,,,,,,,,,,,,,,,,,,,
00773B,中信優先金融債,櫃,,,,,,,,,,,,,,,,,,,
00777B,凱基AAA至A公司債,櫃,,,,,,,,,,,,,,,,,,,
00778B,凱基金融債20+,櫃,,,,,,,,,,,,,,,,,,,
00779B,凱基美債25+,櫃,,,,,,,,,,,,,,,,,,,
00780B,國泰A級金融債,櫃,,,,,,,,,,,,,,,,,,,
00781B,國泰A級科技債,櫃,,,,,,,,,,,,,,,,,,,
00782B,國泰A級公用債,櫃,,,,,,,,,,,,,,,,,,,
00784B,富邦中國投等債,櫃,,,,,,,,,,,,,,,,,,,
00785B,富邦金融投等債,櫃,,,,,,,,,,,,,,,,,,,
00786B,元大10年IG銀行債,櫃,,,,,,,,,,,,,,,,,,,
00787B,元大10年IG醫療債,櫃,,,,,,,,,,,,,,,,,,,
00788B,元大10年IG電能債,櫃,,,,,,,,,,,,,,,,,,,
00789B,復華公司債A3,櫃,,,,,,,,,,,,,,,,,,,
00790B,復華次順位金融債,櫃,,,,,,,,,,,,,,,,,,,
00791B,復華信用債1-5,櫃,,,,,,,,,,,,,,,,,,,
00792B,群益A級公司債,櫃,,,,,,,,,,,,,,,,,,,
00793B,群益AAA-A醫療債,櫃,,,,,,,,,,,,,,,,,,,
00794B,群益7+中國政金債,櫃,,,,,,,,,,,,,,,,,,,
00795B,中信美國公債20年,櫃,,,,,,,,,,,,,,,,,,,
00799B,國泰A級醫療債,櫃,,,,,,,,,,,,,,,,,,,
00834B,第一金金融債10+,櫃,,,,,,,,,,,,,,,,,,,
00836B,永豐10年A公司債,櫃,,,,,,,,,,,,,,,,,,,
00840B,凱基IG精選15+,櫃,,,,,,,,,,,,,,,,,,,
00841B,凱基AAA-AA公司債,櫃,,,,,,,,,,,,,,,,,,,
00842B,台新美元銀行債,櫃,,,,,,,,,,,,,,,,,,,
00844B,新光15年IG金融債,櫃,,,,,,,,,,,,,,,,,,,
00845B,富邦新興投等債,櫃,,,,,,,,,,,,,,,,,,,
00846B,富邦歐洲銀行債,櫃,,,,,,,,,,,,,,,,,,,
00847B,中信美國市政債,櫃,,,,,,,,,,,,,,,,,,,
00848B,中信新興亞洲債,櫃,,,,,,,,,,,,,,,,,,,
00849B,中信EM主權債0-5,櫃,,,,,,,,,,,,,,,,,,,
00853B,統一美債10年Aa-A,櫃,,,,,,,,,,,,,,,,,,,
